gx,gy,gz,avgx,avgy,avgz,minx,maxx,miny,maxy,minz,maxz,,,,,,,,,,,
0.009949,0.972166,0.19563,0.007312,0.981713,1.174388,0.000793,0.012635,0.952878,0.992797,0.185741,0.199292,,,,,,,,,,,
0.006775,0.97534,0.19392,0.007355,0.982042,1.174968,0.000793,0.012635,0.952878,0.992797,0.185741,0.199292,,,,,,,,,,,
0.008606,0.978148,0.194531,0.007441,0.98228,1.175304,0.000793,0.012635,0.952878,0.992797,0.185741,0.199292,,,,,,,,,,,
0.006287,0.970823,0.193188,0.007166,0.981664,1.175017,0.000793,0.012635,0.952878,0.992797,0.185741,0.199292,,,,,,,,,,,
0.008362,0.966429,0.191723,0.00719,0.981389,1.17501,0.000793,0.012635,0.952878,0.992797,0.185741,0.199292,,,,,,,,,,,
0.009949,0.970823,0.193676,0.00716,0.981133,1.174583,0.000793,0.012635,0.952878,0.992797,0.185741,0.199292,,,,,,,,,,,
0.006043,0.968626,0.191479,0.007056,0.980895,1.174089,0.000793,0.012635,0.952878,0.992797,0.185741,0.199292,,,,,,,,,,,
0.006775,0.98413,0.199414,0.007215,0.981749,1.174949,0.000793,0.012635,0.952878,0.992797,0.185741,0.199414,,,,,,,,,,,
0.011536,0.965086,0.193188,0.007495,0.981676,1.174772,0.000793,0.012635,0.952878,0.992797,0.185741,0.199414,,,,,,,,,,,
0.007874,0.979979,0.193188,0.007819,0.981944,1.175114,0.000793,0.012635,0.952878,0.992797,0.185741,0.199414,,,,,,,,,,,
0.003968,0.969847,0.192211,0.007978,0.982146,1.175279,0.003968,0.012635,0.952878,0.992797,0.185741,0.199414,,,,,,,,,,,
0.00763,0.973143,0.194043,0.007727,0.98178,1.174986,0.003968,0.011536,0.952878,0.992797,0.185741,0.199414,,,,,,,,,,,
0.003723,0.98413,0.194531,0.007483,0.981951,1.175236,0.003723,0.011536,0.952878,0.992797,0.185741,0.199414,,,,,,,,,,,
0.003968,0.966307,0.18916,0.007312,0.98073,1.173832,0.003723,0.011536,0.952878,0.992797,0.185741,0.199414,,,,,,,,,,,
0.003968,0.986449,0.195874,0.007093,0.981456,1.17476,0.003723,0.011536,0.952878,0.992797,0.185741,0.199414,,,,,,,,,,,
0.003601,0.973143,0.19331,0.007026,0.981346,1.17487,0.003601,0.011536,0.952878,0.992797,0.185741,0.199414,,,,,,,,,,,
0.006409,0.980101,0.196362,0.006983,0.980669,1.174046,0.003601,0.011536,0.952878,0.990112,0.185741,0.199414,,,,,,,,,,,This is Motion 1 (sitting still)
0.007386,0.975707,0.194043,0.00683,0.981658,1.17545,0.003601,0.011536,0.965086,0.990112,0.18916,0.199414,,,,,,,,,,,Length 20
0.007996,0.968748,0.192211,0.006891,0.980651,1.174419,0.003601,0.011536,0.965086,0.986449,0.18916,0.199414,,,,,,,,,,,
0.005432,0.972533,0.194409,0.006812,0.980895,1.174699,0.003601,0.011536,0.965086,0.986449,0.18916,0.199414,,,,,,,,,,,
0.007264,0.972166,0.19038,0.006678,0.980761,1.174303,0.003601,0.011536,0.965086,0.986449,0.18916,0.199414,,,,,,,,,,,
0.007752,0.979369,0.192089,0.006726,0.981011,1.174461,0.003601,0.011536,0.965086,0.986449,0.18916,0.199414,,,,,,,,,,,
0.006287,0.977293,0.191113,0.006611,0.980852,1.174132,0.003601,0.011536,0.965086,0.986449,0.18916,0.199414,,,,,,,,,,,
0.011048,0.968138,0.191601,0.006849,0.980956,1.174156,0.003601,0.011536,0.965086,0.986449,0.18916,0.199414,,,,,,,,,,,
0.008484,0.975584,0.195019,0.006855,0.98142,1.174785,0.003601,0.011536,0.965086,0.986449,0.18916,0.199414,,,,,,,,,,,
0.006409,0.972899,0.191235,0.006678,0.981347,1.17459,0.003601,0.011536,0.965086,0.986449,0.18916,0.199414,,,,,,,,,,,
0.004578,0.981444,0.195996,0.006604,0.981914,1.175383,0.003601,0.011536,0.965086,0.986449,0.18916,0.199414,,,,,,,,,,,
0.004578,0.966795,0.192089,0.006495,0.980938,1.17404,0.003601,0.011536,0.965086,0.986449,0.18916,0.196362,,,,,,,,,,,
0.006043,0.984008,0.193676,0.00622,0.981609,1.174736,0.003601,0.011048,0.966307,0.986449,0.18916,0.196362,,,,,,,,,,,
0.011048,0.969114,0.19624,0.006379,0.981225,1.174504,0.003601,0.011048,0.966307,0.986449,0.18916,0.196362,,,,,,,,,,,
0.009461,0.978514,0.193066,0.006653,0.981932,1.175255,0.003601,0.011048,0.966307,0.986449,0.18916,0.196362,,,,,,,,,,,
0.012635,0.973753,0.188915,0.006904,0.982213,1.175279,0.003601,0.012635,0.966307,0.986449,0.188915,0.196362,,,,,,,,,,,
0.009339,0.972777,0.191601,0.007184,0.981926,1.174846,0.003601,0.012635,0.966307,0.986449,0.188915,0.196362,,,,,,,,,,,
0.007264,0.967527,0.191845,0.007349,0.982152,1.175206,0.003601,0.012635,0.966795,0.986449,0.188915,0.196362,,,,,,,,,,,
0.0047,0.978148,0.192944,0.007386,0.981774,1.174681,0.003601,0.012635,0.966795,0.984008,0.188915,0.196362,,,,,,,,,,,
0.002747,0.964597,0.187817,0.007343,0.981304,1.173936,0.002747,0.012635,0.964597,0.984008,0.187817,0.196362,,,,,,,,,,,
0.006531,0.974852,0.193066,0.007349,0.981047,1.173515,0.002747,0.012635,0.964597,0.984008,0.187817,0.19624,,,,,,,,,,,
0.007142,0.962766,0.192333,0.007337,0.980388,1.17277,0.002747,0.012635,0.962766,0.984008,0.187817,0.19624,,,,,,,,,,,
0.009827,0.972899,0.19563,0.007428,0.980687,1.17324,0.002747,0.012635,0.962766,0.984008,0.187817,0.19624,,,,,,,,,,,
0.008729,0.968992,0.193554,0.007593,0.980675,1.173186,0.002747,0.012635,0.962766,0.984008,0.187817,0.19624,,,,,,,,,,,
0.007264,0.975829,0.196118,0.007593,0.980858,1.173656,0.002747,0.012635,0.962766,0.984008,0.187817,0.19624,,,,,,,,,,,
0.006409,0.977904,0.1927,0.007526,0.980718,1.173546,0.002747,0.012635,0.962766,0.984008,0.187817,0.19624,,,,,,,,,,,
0.007142,0.969725,0.194165,0.007569,0.980382,1.173363,0.002747,0.012635,0.962766,0.984008,0.187817,0.19624,,,,,,,,,,,
0.005921,0.977782,0.193188,0.007313,0.980608,1.173668,0.002747,0.012635,0.962766,0.984008,0.187817,0.19624,,,,,,,,,,,
0.005921,0.968992,0.195508,0.007184,0.98015,1.173235,0.002747,0.012635,0.962766,0.984008,0.187817,0.19624,,,,,,,,,,,
0.005799,0.976073,0.193554,0.007154,0.980278,1.173479,0.002747,0.012635,0.962766,0.984008,0.187817,0.19624,,,,,,,,,,,
0.006531,0.975707,0.197461,0.007252,0.980089,1.173363,0.002747,0.012635,0.962766,0.984008,0.187817,0.197461,,,,,,,,,,,
0.005799,0.974364,0.189526,0.007313,0.980529,1.173674,0.002747,0.012635,0.962766,0.984008,0.187817,0.197461,,,,,,,,,,,
0.005799,0.977293,0.192822,0.0073,0.980181,1.173283,0.002747,0.012635,0.962766,0.978514,0.187817,0.197461,,,,,,,,,,,
0.007386,0.97766,0.190747,0.007117,0.980425,1.173253,0.002747,0.012635,0.962766,0.978514,0.187817,0.197461,,,,,,,,,,,
0.006287,0.973875,0.193676,0.006959,0.980034,1.172893,0.002747,0.012635,0.962766,0.978148,0.187817,0.197461,,,,,,,,,,,
0.007508,0.976073,0.194409,0.006702,0.979894,1.173027,0.002747,0.009827,0.962766,0.978148,0.187817,0.197461,,,,,,,,,,,
0.006409,0.972166,0.193066,0.006556,0.979717,1.172923,0.002747,0.009827,0.962766,0.978148,0.187817,0.197461,,,,,,,,,,,
0.008118,0.980345,0.196118,0.006598,0.980401,1.173821,0.002747,0.009827,0.962766,0.980345,0.187817,0.197461,,,,,,,,,,,
0.006897,0.97241,0.193066,0.006708,0.980223,1.17365,0.002747,0.009827,0.962766,0.980345,0.187817,0.197461,,,,,,,,,,,
