gx,gy,gz,avgx,avgy,avgz,minx,maxx,miny,maxy,minz,maxz,,,,,,,,,,
-0.131295,0.714094,-0.734603,-0.006565,0.02914,-0.00759,-0.131295,0,0,0.714094,-0.734603,0,,,,,,,,,,
-0.136422,0.722029,-0.735824,-0.013386,0.05842,-0.015101,-0.136422,0,0,0.722029,-0.735824,0,,,,,,,,,,
-0.144723,0.72032,-0.743881,-0.020622,0.0872,-0.023515,-0.144723,0,0,0.722029,-0.743881,0,,,,,,,,,,
-0.145212,0.712629,-0.751694,-0.027883,0.115571,-0.032729,-0.145212,0,0,0.722029,-0.751694,0,,,,,,,,,,
-0.146676,0.710065,-0.750107,-0.035216,0.14374,-0.042065,-0.146676,0,0,0.722029,-0.751694,0,,,,,,,,,,
-0.144235,0.7086,-0.752793,-0.042428,0.171959,-0.051486,-0.146676,0,0,0.722029,-0.752793,0,,,,,,,,,,
-0.142892,0.706769,-0.756333,-0.049573,0.200153,-0.061109,-0.146676,0,0,0.722029,-0.756333,0,,,,,,,,,,
-0.140206,0.701642,-0.757309,-0.056583,0.228224,-0.070903,-0.146676,0,0,0.722029,-0.757309,0,,,,,,,,,,
-0.136544,0.697857,-0.7556,-0.06341,0.25629,-0.080617,-0.146676,0,0,0.722029,-0.757309,0,,,,,,,,,,
-0.13337,0.696515,-0.755234,-0.070079,0.284447,-0.090222,-0.146676,0,0,0.722029,-0.757309,0,,,,,,,,,,
-0.129463,0.690899,-0.755844,-0.076552,0.312519,-0.099942,-0.146676,0,0,0.722029,-0.757309,0,,,,,,,,,,
-0.162669,0.690655,-0.740707,-0.084685,0.338918,-0.110578,-0.162669,0,0,0.722029,-0.757309,0,,,,,,,,,,
-0.172069,0.709577,-0.720442,-0.093289,0.365794,-0.119725,-0.172069,0,0,0.722029,-0.757309,0,,,,,,,,,,
-0.176219,0.730452,-0.696271,-0.1021,0.393505,-0.126827,-0.176219,0,0,0.730452,-0.757309,0,,,,,,,,,,
-0.17451,0.748154,-0.669658,-0.110825,0.422188,-0.131627,-0.176219,0,0,0.748154,-0.757309,0,,,,,,,,,,
-0.157297,0.76793,-0.643411,-0.11869,0.452719,-0.133266,-0.176219,0,0,0.76793,-0.757309,0,,,,,,,,,,
-0.153635,0.797473,-0.620338,-0.126372,0.484911,-0.132091,-0.176219,0,0,0.797473,-0.757309,0,,,,,,,,,,
-0.155588,0.805042,-0.614234,-0.134151,0.517384,-0.13033,-0.176219,0,0,0.805042,-0.757309,0,,,,,,,,,,This is Motion 3 (slow pointing from left to right)
-0.16511,0.806018,-0.591894,-0.142407,0.549429,-0.12788,-0.176219,0,0,0.806018,-0.757309,0,,,,,,,,,,Length 20
-0.16096,0.766954,-0.609107,-0.150455,0.579729,-0.128035,-0.176219,-0.129463,0.690655,0.806018,-0.757309,-0.591894,,,,,,,,,,
-0.151071,0.808826,-0.602149,-0.151444,0.583477,-0.117665,-0.176219,-0.129463,0.690655,0.808826,-0.757309,-0.591894,,,,,,,,,,
-0.130196,0.815418,-0.660136,-0.151132,0.588457,-0.1089,-0.176219,-0.129463,0.690655,0.815418,-0.757309,-0.591894,,,,,,,,,,
-0.076604,0.815785,-0.756089,-0.147726,0.596637,-0.101331,-0.176219,-0.076604,0.690655,0.815785,-0.757309,-0.591894,,,,,,,,,,
-0.085149,0.863883,-0.722517,-0.144723,0.607203,-0.089306,-0.176219,-0.076604,0.690655,0.863883,-0.757309,-0.591894,,,,,,,,,,
-0.0799,0.896844,-0.744735,-0.141384,0.61988,-0.07636,-0.176219,-0.076604,0.690655,0.896844,-0.757309,-0.591894,,,,,,,,,,
-0.049747,0.826405,-0.760239,-0.13666,0.630495,-0.066117,-0.176219,-0.049747,0.690655,0.896844,-0.760239,-0.591894,,,,,,,,,,
